UrusanPemerintahan|Organisasi|Program|SubProgram|PendapatanBelanja|Tipe|SubTipe|Uraian|Jumlah
1.01|001|00|000|4|||PENDAPATAN DAERAH|
1.01|001|00|000|4|1||PENDAPATAN ASLI DAERAH|2.000.000.000
1.01|001|00|000|4|1|2|Retribusi Daerah|2.000.000.000
1.01|001|00|000|5|||BELANJA DAERAH|
1.01|001|00|000|5|1||BELANJA TIDAK LANGSUNG|7.666.609.120.000
1.01|001|00|000|5|1|1|BELANJA PEGAWAI|7.666.609.120.000
1.01|001|00|000|5|2||BELANJA LANGSUNG|664.217.330.905
1.01|001|01|||||Program Pendidikan Anak Usia Dini|
1.01|001|01|121||||Pembuatan DED Rehabilitasi Total Gedung SDN Batu Ampar 12|
1.01|001|01|121|5|2||BELANJA LANGSUNG|274.999.890
1.01|001|01|121|5|2|2|BELANJA BARANG DAN JASA|274.999.890
1.01|001|01|||||Program Pendidikan Anak Usia Dini|
1.01|001|01|139||||Penyelenggaraan Pendidikan Anak Usia Dini|
1.01|001|01|139|5|2||BELANJA LANGSUNG|5.637.995.273
1.01|001|01|139|5|2|1|BELANJA PEGAWAI|277.310.000
1.01|001|01|139|5|2|2|BELANJA BARANG DAN JASA|3.751.935.273
1.01|001|01|139|5|2|3|BELANJA MODAL|1.608.750.000
1.01|001|02|||||Program Wajib Belajar Dua Belas Tahun|
1.01|001|02|001||||Penyediaan Biaya Operasional TKN dan SLBN|
1.01|001|02|001|5|2||BELANJA LANGSUNG|5.338.311.840
1.01|001|02|001|5|2|1|BELANJA PEGAWAI|460.800.000
1.01|001|02|001|5|2|2|BELANJA BARANG DAN JASA|4.877.511.840
1.01|001|04|||||Program Pendidikan Khusus dan Layanan Khusus|
1.01|001|04|001||||Pembinaan Penyelenggaraan Pendidikan Inklusi|
1.01|001|04|001|5|2||BELANJA LANGSUNG|649.973.155
1.01|001|04|001|5|2|1|BELANJA PEGAWAI|74.800.000
1.01|001|04|001|5|2|2|BELANJA BARANG DAN JASA|575.173.155
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|002||||Penyelenggaraan Ujian Nasional dan Ujian Sekolah|
1.01|001|05|002|5|2||BELANJA LANGSUNG|10.689.835.251
1.01|001|05|002|5|2|1|BELANJA PEGAWAI|2.255.990.000
1.01|001|05|002|5|2|2|BELANJA BARANG DAN JASA|8.433.845.251
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|003||||Pembinaan dan Pengembangan Prestasi Peserta Didik|
1.01|001|05|003|5|2||BELANJA LANGSUNG|3.499.549.113
1.01|001|05|003|5|2|1|BELANJA PEGAWAI|810.280.000
1.01|001|05|003|5|2|2|BELANJA BARANG DAN JASA|2.689.269.113
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|004||||Pembinaan Kompetensi Guru|
1.01|001|05|004|5|2||BELANJA LANGSUNG|995.424.376
1.01|001|05|004|5|2|2|BELANJA BARANG DAN JASA|995.424.376
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|006||||Bimtek Penguatan Implementasi Kurikulum 2013 MGMP|
1.01|001|05|006|5|2||BELANJA LANGSUNG|998.248.500
1.01|001|05|006|5|2|2|BELANJA BARANG DAN JASA|998.248.500
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|007||||Penyelenggaraan dan Partisipasi Lomba Pendidikan|
1.01|001|05|007|5|2||BELANJA LANGSUNG|498.833.500
1.01|001|05|007|5|2|2|BELANJA BARANG DAN JASA|498.833.500
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|008||||Penyelenggaraan dan Partisipasi Olimpiade|
1.01|001|05|008|5|2||BELANJA LANGSUNG|499.999.952
1.01|001|05|008|5|2|2|BELANJA BARANG DAN JASA|499.999.952
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|009||||Penyelenggaraan dan Partisipasi Event Pendidikan|
1.01|001|05|009|5|2||BELANJA LANGSUNG|2.499.641.144
1.01|001|05|009|5|2|1|BELANJA PEGAWAI|416.080.000
1.01|001|05|009|5|2|2|BELANJA BARANG DAN JASA|2.083.561.144
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|010||||Seleksi dan Pemusatan Latihan Olimpiade|
1.01|001|05|010|5|2||BELANJA LANGSUNG|3.499.998.553
1.01|001|05|010|5|2|2|BELANJA BARANG DAN JASA|3.499.998.553
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|011||||Pengadaan Buku Kurikulum 2013 Peserta Didik dan Guru SMA, SMK Negeri dan Swasta|
1.01|001|05|011|5|2||BELANJA LANGSUNG|12.428.877.500
1.01|001|05|011|5|2|2|BELANJA BARANG DAN JASA|83.187.500
1.01|001|05|011|5|2|3|BELANJA MODAL|12.345.690.000
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|013||||Lomba Debat Bahasa Indonesia dan Bahasa Asing Siswa SMK|
1.01|001|05|013|5|2||BELANJA LANGSUNG|1.599.999.488
1.01|001|05|013|5|2|1|BELANJA PEGAWAI|266.000.000
1.01|001|05|013|5|2|2|BELANJA BARANG DAN JASA|1.333.999.488
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|014||||Pengadaan raport siswa SD|
1.01|001|05|014|5|2||BELANJA LANGSUNG|1.500.000.000
1.01|001|05|014|5|2|2|BELANJA BARANG DAN JASA|1.500.000.000
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|015||||Pengadaan raport siswa SMP|
1.01|001|05|015|5|2||BELANJA LANGSUNG|600.000.000
1.01|001|05|015|5|2|2|BELANJA BARANG DAN JASA|600.000.000
1.01|001|05|||||Program Peningkatan Mutu Pendidikan|
1.01|001|05|016||||Pelaksanaan akreditasi sekolah/madrasah secara online|
1.01|001|05|016|5|2||BELANJA LANGSUNG|2.243.780.470
1.01|001|05|016|5|2|1|BELANJA PEGAWAI|173.250.000
1.01|001|05|016|5|2|2|BELANJA BARANG DAN JASA|2.070.530.470
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|001||||Penyelesaian Rehabilitasi Total Gedung SDN Rawabadak Selatan 11/12|
1.01|001|06|001|5|2||BELANJA LANGSUNG|11.199.001.596
1.01|001|06|001|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|001|5|2|3|BELANJA MODAL|10.998.262.596
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|002||||Penyelesaian Rehabilitasi Total Gedung SDN Cakung Barat 14|
1.01|001|06|002|5|2||BELANJA LANGSUNG|6.193.443.718
1.01|001|06|002|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|002|5|2|3|BELANJA MODAL|6.088.322.218
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|003||||Penyelesaian Rehabilitasi Total Gedung SDN Karet Tengsing 13|
1.01|001|06|003|5|2||BELANJA LANGSUNG|6.953.969.391
1.01|001|06|003|5|2|2|BELANJA BARANG DAN JASA|150.826.500
1.01|001|06|003|5|2|3|BELANJA MODAL|6.803.142.891
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|004||||Penyelesaian Rehabilitasi Total Gedung SDN Balimester 04|
