no,tanggal,keterangan_jkb,sumber_informasi,waktu_informasi,alamat_kejadian,rt,rw,kelurahan,kecamatan,wilayah,objek_kejadian_awal,kode_objek_bencana,kategori_objek_bencana,objek_kejadian_lainnya,kode_objek_bencana_lainnya,kategori_objek_bencana_lainnya,id_bangunan,jenis_bangunan,id_sebab,sebab_kejadian,keterangan_sebab_kejadian,waktu_respon,menit_respon,jumlah_unit,jumlah_sdm,lama_operasi_hari,lama_operasi_jam,lama_operasi_menit,luas_area_kejadian,petugas_mati,petugas_luka,masyarakat_mati,masyarakat_luka,objek_bp,objek_bup,objek_bi,objek_kd,objek_ln,jumlah_kk,jumlah_jiwa,taksiran_kerugian,kronologis_kejadian,keterangan
1,1/1/2013,Bencana Kebakaran,Petugas Pemadam,0:05,Jl. Angin Puyuh No. 76C,5,11,Semper Barat,Cilincing,Jakarta Utara,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LN,Lain,Kembang Api,0:10,5,12,60,0,1,0,102,0,0,0,0,1,-,-,-,-,2,4,300000000,Api berasal dari ledakan kembang api yang mengenai atap rumah kemudian membesar dan menghabiskan seluruh isi rumah,
2,1/1/2013,Bencana Kebakaran,Masyarakat,5:00,Jl. H. Alit,8,3,Pekayon,Pasar Rebo,Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,5:05,5,2,10,0,0,15,6,0,0,0,0,1,-,-,-,-,1,3,20000000,Api Berasal dari ledakan stop kontak yang kemudian mengeluarkan percikan api sehingga  menyambar kasur dan membesar,
3,1/1/2013,Bencana Kebakaran,Masyarakat,10:00,Jl. Indra Loka VI,8,6,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,10:05,5,24,120,0,1,35,750,0,0,0,0,20,-,-,-,-,20,80,750000000,"Diduga akibat arus pendek, timbul percikan api, api membesar menyambar plafon sehingga terjadi kebakaran",
4,1/1/2013,Bencana Kebakaran,Petugas Instansi Lain,0:00,Jl. Jiung No.49 Gg. N,1,3,Utan Panjang,Kemayoran,Jakarta Pusat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,0:09,9,19,60,0,1,30,24,0,0,0,0,3,-,-,-,-,3,12,200000000,Diduga berasal dari konsleting listrik yang berada diatas plafon kemudian keluar percikan api dan menyambar kayu atap sehingga membesar menghabiskan 3 rumah tinggal,
5,1/2/2013,Bencana Kebakaran,Petugas Pemadam,19:30,Jln. Meruya Raya,9,7,Meruya Selatan,Kembangan,Jakarta Barat,Rumah Tinggal,BU,Bangunan Umum dan Perdagangan,"Musholah, Kontrakan & Sepeda Motor",BU,Bangunan Umum dan Perdagangan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,19:35,5,20,100,0,1,0,270,0,0,0,0,3,-,-,1,-,0,0,600000000,"Diduga akibat warga mainan kembang api di lempar ke atas rumah, api mengenai kerangka kayu dan merambat membakar plafon dan membesar",
6,1/2/2013,Bencana Kebakaran,Masyarakat,13:30,Jln. Perum Kosambi Baru. Blok D.5 No. 5,7,9,Duri Kosambi,Cengkareng,Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,13:35,5,14,70,0,1,0,90,0,0,0,0,1,-,-,-,-,0,0,700000000,Diduga terjadi hubungan arus pendek listrik dan api menyambar bahan-bahan yang mudah terbakar dan mengakibatkan kebakaran,
7,1/3/2013,Bencana Kebakaran,Masyarakat,4:50,Jln. Taman Palm Lestari Blok G.2 No. 21-22,,,Cengkareng Barat,Cengkareng,Jakarta Barat,Toko Bangunan,BU,Bangunan Umum dan Perdagangan,Meteran Listrik,BU,Bangunan Umum dan Perdagangan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,4:55,5,1,5,0,0,30,4,0,0,0,0,-,-,-,-,1,0,0,1000000,"Diduga akibat hubungan arus pendek listrik pada meteran, sehingga terjadi kebakaran",
8,1/3/2013,Bencana pada Ketinggian (operasi penyelamatan Beda Ketinggian),Masyarakat,6:50,jl. Proyek senen blok 1,,,Kramat,Senen,Jakarta Pusat,Evakuasi Banjir,LN,Lain-Lain,,,,,,LN,Lain,Percobaan bunuh diri,6:55,5,2,10,0,1,40,,0,0,0,0,-,-,-,-,-,0,0,NA,percobaan bunuh diri diduga karena strees.,
9,1/4/2013,Bencana Kebakaran,Masyarakat,19:45,Jl. Tawas  No.6,2,11,Jati,Pulogadung,Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,Mobil Inova,KD,Kendaraan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,19:55,10,9,45,0,0,35,40,0,0,0,0,1,-,-,1,-,1,2,200000000,"Hubungan singkat diatas plafon, api membesar sehingga sebagian garasi dan satu unit mobil terbakar",
10,1/5/2013,Bencana Kebakaran,Petugas Pemadam,16:00,Jl. Pecenongan Raya No. 8,1,4,Kebon Kelapa,Gambir,Jakarta Pusat,Bangunan Umum,BU,Bangunan Umum dan Perdagangan,-,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,16:04,4,14,64,0,0,25,6,0,0,0,0,-,1,-,-,-,0,0,50000000,Diduga akibat arus pendek yang terjadi pada exxcous fan sehingga menyebabkan kebakaran.,
11,1/6/2013,Bencana Kebakaran,Petugas Instansi Lain,8:15,Jl. Inveksi Kali Grogol,12,16,Palmerah,Palmerah,Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,8:23,8,9,45,0,1,25,120,0,0,0,0,1,-,-,-,-,1,6,150000000,Diduga dari terjadinya arus pendek diatas plapon sehingga terjadi kebakaran,
