,No,Tanggal,Keterangan JKB,Sumber Informasi,Waktu Informasi,Alamat Kejadian, RT , RW ,Kelurahan,Kecamatan,Wilayah,Objek Kejadian Awal,Kode Objek Bencana,Kategori Objek Bencana,Objek Kejadian Lainnya,Kode Objek Bencana Lainnya,Kategori Objek Bencana Lainnya,ID Bang,Jenis Bangunan,ID Sebab,Sebab Kejadian,Keterangan Sebab Kejadian,Waktu Respon,Menit Respon,JUMLAH UNIT,JUMLAH SDM,Lama Operasi -  Hari,Lama Operasi - Jam,Lama Operasi -  Menit,Luas Area Kejadian,Petugas Mati,Petugas  Luka,Masyarakat Mati,Masyarakat Luka,Objek BP,Objek BUP,Objek BI,Objek KD,Objek LN,Jumlah KK,Jumlah Jiwa, Taksiran Kerugian ,Kronologis Kejadian,Keterangan
,1,01/Januari/2013  (Selasa),Bencana Kebakaran,Petugas Pemadam,00:05,Jl. Angin Puyuh No. 76C, 5 , 11 ,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LN,Lain,Kembang Api,00:10,00:05,12,60,0,1,0,102, - , - , - , - , 1 , - , - , - , - ,2,4," 300,000,000 ",Api berasal dari ledakan kembang api yang mengenai atap rumah kemudian membesar dan menghabiskan seluruh isi rumah,
,2,01/Januari/2013  (Selasa),Bencana Kebakaran,Masyarakat,05:00,Jl. H. Alit, 8 , 3 ,Pekayon,Pasar Rebo, Kota Administrasi Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,05:05,00:05,2,10,0,0,15,6, - , - , - , - , 1 , - , - , - , - ,1,3," 20,000,000 ",Api Berasal dari ledakan stop kontak yang kemudian mengeluarkan percikan api sehingga  menyambar kasur dan membesar,
,3,01/Januari/2013  (Selasa),Bencana Kebakaran,Masyarakat,10:00,Jl. Indra Loka VI, 8 , 6 ,Wijaya Kusuma,Grogol Petamburan, Kota Administrasi Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,10:05,00:05,24,120,0,1,35,750, - , - , - , - , 20 , - , - , - , - ,20,80," 750,000,000 ","Diduga akibat arus pendek, timbul percikan api, api membesar menyambar plafon sehingga terjadi kebakaran",
,4,01/Januari/2013  (Selasa),Bencana Kebakaran,Petugas Instansi Lain,00:00,Jl. Jiung No.49 Gg. N, 1 , 3 ,Utan Panjang,Kemayoran, Kota Administrasi Jakarta Pusat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,00:09,00:09,19,60,0,1,30,24, - , - , - , - , 3 , - , - , - , - ,3,12," 200,000,000 ",Diduga berasal dari konsleting listrik yang berada diatas plafon kemudian keluar percikan api dan menyambar kayu atap sehingga membesar menghabiskan 3 rumah tinggal,
,5,02/Januari/2013  (Rabu),Bencana Kebakaran,Petugas Pemadam,19:30,Jln. Meruya Raya, 9 , 7 ,Meruya Selatan,Kembangan, Kota Administrasi Jakarta Barat,Rumah Tinggal,BU,Bangunan Umum dan Perdagangan,"Musholah, Kontrakan & Sepeda Motor",BU,Bangunan Umum dan Perdagangan,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,19:35,00:05,20,100,0,1,0,270, - , - , - , - , 3 , - , - , 1 , - ,0,0," 600,000,000 ","Diduga akibat warga mainan kembang api di lempar ke atas rumah, api mengenai kerangka kayu dan merambat membakar plafon dan membesar",
,6,02/Januari/2013  (Rabu),Bencana Kebakaran,Masyarakat,13:30,Jln. Perum Kosambi Baru. Blok D.5 No. 5, 7 , 9 ,Duri Kosambi,Cengkareng, Kota Administrasi Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,13:35,00:05,14,70,0,1,0,90, - , - , - , - , 1 , - , - , - , - ,0,0," 700,000,000 ",Diduga terjadi hubungan arus pendek listrik dan api menyambar bahan-bahan yang mudah terbakar dan mengakibatkan kebakaran,
,7,03/Januari/2013  (Kamis),Bencana Kebakaran,Masyarakat,04:50,Jln. Taman Palm Lestari Blok G.2 No. 21-22,,,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,Toko Bangunan,BU,Bangunan Umum dan Perdagangan,Meteran Listrik,BU,Bangunan Umum dan Perdagangan,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,04:55,00:05,1,5,0,0,30,4, - , - , - , - , - , - , - , - , 1 ,0,0," 1,000,000 ","Diduga akibat hubungan arus pendek listrik pada meteran, sehingga terjadi kebakaran",
,8,03/Januari/2013  (Kamis),Bencana pada Ketinggian (operasi penyelamatan Beda Ketinggian),Masyarakat,06:50,jl. Proyek senen blok 1,,,kramat,Senen, Kota Administrasi Jakarta Pusat,Evakuasi Banjir,LN,Lain-Lain,,,,,,LN,Lain,Percobaan Bunuh Diri,06:55,00:05,2,10,0,1,40,, - , - , - , - , - , - , - , - , - ,0,0, - ,percobaan bunuh diri diduga karena strees.,
,9,04/Januari/2013  (Jumat),Bencana Kebakaran,Masyarakat,19:45,Jl. Tawas  No.6, 2 , 11 ,Jati,Pulogadung, Kota Administrasi Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,Mobil Inova,KD,Kendaraan,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,19:55,00:10,9,45,0,0,35,40, - , - , - , - , 1 , - , - , 1 , - ,1,2," 200,000,000 ","Hubungan singkat diatas plafon, api membesar sehingga sebagian garasi dan satu unit mobil terbakar",
,10,05/Januari/2013  (Sabtu),Bencana Kebakaran,Petugas Pemadam,16:00,Jl. Pecenongan Raya No. 8, 1 , 4 ,Kebon Kelapa ,Gambir, Kota Administrasi Jakarta Pusat,Bangunan Umum,BU,Bangunan Umum dan Perdagangan,-,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,16:04,00:04,14,64,0,0,25,6, - , - , - , - , - , 1 , - , - , - ,0,0," 50,000,000 ",Diduga akibat arus pendek yang terjadi pada exxcous fan sehingga menyebabkan kebakaran.,
,11,06/Januari/2013  (Minggu),Bencana Kebakaran,Petugas Instansi Lain,08:15,Jl. Inveksi Kali Grogol, 12 , 16 ,Palmerah,Palmerah, Kota Administrasi Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,08:23,00:08,9,45,0,1,25,120, - , - , - , - , 1 , - , - , - , - ,1,6," 150,000,000 ",Diduga dari terjadinya arus pendek diatas plapon sehingga terjadi kebakaran,
,12,06/Januari/2013  (Minggu),Bencana Kebakaran,Masyarakat,19:00,Jl. Mandala 5, 6 - 7 , 2 ,Cililitan,Kramat Jati, Kota Administrasi Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,19:11,00:11,22,110,0,2,30,600, - , - , - , - , 20 , - , - , - , - ,30,120," 900,000,000 ",Diduga dari terjadinya arus pendek diatas plapon sehingga terjadi kebakaran,
,13,06/Januari/2013  (Minggu),Bencana Kebakaran,Masyarakat,19:00,Jl. Rasuna Said Kav. 6 - 7,,,Setiabudi,Setiabudi, Kota Administrasi Jakarta Selatan,Gedung,BU,Bangunan Umum dan Perdagangan,,,,BT,Bangunan Tinggi,LS,Listrik,Arus Pendek,19:05,00:05,24,120,0,3,0,lantai 1 - 6, - , - , - , 6 , - , - , - , - , - ,0,0," 2,000,000,000 ","Diduga dari terjadinya hubungan arus pendek Listrik, di ruangan arsip dan menimbulkan percikan api sehingga membesar.",
,14,07/Januari/2013  (Senin),Bencana Kebakaran,Masyarakat,19:11,Jl. Pasar Hipli Semanan, 3 , 7 ,Semanan,Kalideres, Kota Administrasi Jakarta Barat,Warung,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,19:15,00:04,2,10,0,0,14,0.5, - , - , - , - , - , 1 , - , - , - ,0,0," 1,000,000 ",Diduga dari terjadinya hubungan arus pendek Listrik pada mesin pendingin( Frezer) sehingga menimbulkan percikan api sehingga membesar.,
,15,08/Januari/2013  (Selasa),Bencana Kebakaran,Masyarakat,11:00,Jl. Gatot Subroto No. 173,,,Menteng Dalam,Tebet, Kota Administrasi Jakarta Selatan,Filter Air,BU,Bangunan Umum dan Perdagangan,,,,BT,Bangunan Tinggi,LN,Lain,Percikan Las,11:06,00:06,10,50,0,0,30,9, - , - , - , - , - , - , - , - , 1 ,0,0," 10,000,000 ",Diduga akibat percikan las yang menyambar filter air kemudian membakar filter air tersebut.,
,16,08/Januari/2013  (Selasa),Bencana Kebakaran,Masyarakat,17:30,Jl. Mandar XXI DD 12 No. 52, 8 , 10 ,Tangerang,Tangerang,Kota Tangerang,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,17:40,00:10,1,5,0,2,21,130 (2 Lantai), - , - , - , - , 1 , - , - , - , - ,1,2," 250,000,000 ","Diduga akibat arus pendek pada stop kontak, kemudian membakar bahan yang mudah terbakar sehingga membakar rumah berlantai 2 tersebut.",
,17,08/Januari/2013  (Selasa),Bencana Kebakaran,Petugas Pemadam,08:30,Jl. Pangeran Jayakarta, 1 , 6 ,Mangga Dua Selatan ,Sawah Besar, Kota Administrasi Jakarta Pusat,Pompa Air,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LN,Lain,Arus Pendek,08:34,00:04,6,47,0,0,30,6, - , - , - , - , - , - , - , - , 1 ,0,0," 25,000,000 ",Diduga akibat pompa air (arus pendek) kemudian menyebabkan kebakaran.,
