nama_pos_pemadam,kotamadya,kecamatan,kelurahan,rt,rw,kodepos,alamat,personil_group_a,personil_group_b,personil_group_c,kendaraan,latitude,longitude
Pos Puri Indah,Jakarta Barat,Kembangan,Cipete Selatan,,,12410,Jl. Puri Sakti,4,4,4,1,-6.2727535,106.8100474
Kantor Sektor I,Jakarta Barat,Grogol Petamburan,Jelambar,,,12270,Jl. Perdana,10,10,8,6,-6.2441307,106.7547598
Pos Joglo,Jakarta Barat,Kembangan,Joglo,,,11640,Jl. Raya Joglo,4,4,4,1,-6.2207801,106.7349944
Kantor Sektor V,Jakarta Barat,Kebon Jeruk,Sukabumi Utara,,,11540,Jl. Kebon Jeruk Baru Blok C,7,7,6,3,-6.2028025,106.781616
Kantor Sektor VI,Jakarta Barat,Kembangan,Kembangan Selatan,,,11610,Jl. Kembangan Raya,8,8,8,3,-6.1846385,106.7349835
Pos Kresek,Jakarta Barat,Cengkareng,Duri Kosambi,,,11750,Jl. Kresek Raya,4,4,4,1,-6.1781513,106.7135312
Kantor Sudin Jakarta Barat,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,,,11470,Jl. Tanjung Duren Raya No. 1,25,26,27,15,-6.174027,106.787954
Pos Keb. Jeruk Lama,Jakarta Barat,Kebon Jeruk,Kelapa Dua,,,10650,Jl. C,4,4,4,1,-6.1629484,106.8555467
Pos Rawa Buaya,Jakarta Barat,Cengkareng,Rawa Buaya,,,11740,Jl. Hikmah Raya No. 30,4,4,4,1,-6.1621057,106.7318432
Pos Lokasari,Jakarta Barat,Sawah Besar,Kartini,,,10750,Jl. Mangga Besar VII,4,4,4,1,-6.148118,106.827546
Pos Krendang,Jakarta Barat,Tambora,Krendang,,,11260,Jl. Krendang Utara,4,3,4,1,-6.1480516,106.8041592
Pos Angke,Jakarta Barat,Tambora,Angke,,,11330,Jl. Angke Indah Raya No. 25 A,4,4,4,1,-6.14763,106.79987
Kantor Sektor VIII,Jakarta Barat,Kalideres,Kalideres,,,11840,Jl. Perumahan Citra Garden V,7,6,8,3,-6.144157,106.696574
Pos Citra II,Jakarta Barat,Kalideres,Kalideres,,,11840,Jl. Perumahan Citra Garden 2,4,4,5,1,-6.144014,106.697084
Pos Citra I,Jakarta Barat,Kalideres,Kalideres,,,11840,Jl. Perumahan Citra Garden 1,4,5,4,1,-6.1438851,106.6971067
Kantor Sektor VII,Jakarta Barat,Cengkareng,Cengkareng Barat,,,11730,Jl. Taman Palem Lestari,11,12,12,5,-6.1352681,106.7234717
Kantor Sektor IV,Jakarta Barat,Taman Sari,Pinangsia,,,11110,Jl. Kemukus,12,11,12,6,-6.1332491,106.8146044
Kantor Sektor III,Jakarta Barat,Tambora,Roa Malaka,,,11230,Jl. Tiang Bendera I No. 1,10,10,10,6,-6.1331078,106.8082498
Pos Duta Mas,Jakarta Barat,,,,,,"Jl. Wijaya, Komp. Duta Mas",4,4,4,1,,
Pos Cengkareng,Jakarta Barat,,,,,,Jl. Cendrawasih,4,4,4,1,,
Pos MPR/DPR,Jakarta Pusat,Tanah Abang,Gelora,,,10270,Jl. Gatot Subroto,6,6,6,3,-6.2094035,106.7998032
Pos Karet,Jakarta Pusat,Tanah Abang,Bendungan Hilir,,,10210,Jl. Penjernihan Raya,5,5,5,2,-6.2028394,106.8059316
Pos Kebon Melati,Jakarta Pusat,Tanah Abang,Kebon Melati,,,10230,Jl. H. Awaludin IV,4,4,4,2,-6.2001694,106.814167
Pos TIM,Jakarta Pusat,Menteng,Cikini,,,10330,Jl. Cikini Raya No. 73,7,7,7,4,-6.1905136,106.83924
Pos Tanah Abang,Jakarta Pusat,Tanah Abang,Kebon Kacang,,,10240,Jl. Fachrudin,3,3,3,1,-6.1846023,106.81502
Sektor Cempaka Putih,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,,,10520,Jl. Perkantoran Rawa Kerbau,9,9,9,4,-6.1831205,106.8683855
Pos Johar Baru,Jakarta Pusat,Johar Baru,Johar Baru,,,10560,Jl. Johar Baru Utara,8,8,8,4,-6.1821414,106.857898
Pos Jati Baru,Jakarta Pusat,Gambir,Cideng,,,10150,Jl. Taman Jati Baru,3,3,3,1,-6.1815524,106.8106259
Pos Cempaka Putih,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,,,10520,Jl. Cempaka Putih Barat,5,5,5,2,-6.1813538,106.8637223
Pos Balaikota,Jakarta Pusat,Gambir,Gambir,,,10110,Jl. Medan Merdeka Selatan No.8-9,3,3,3,1,-6.1805748,106.8275197
Pos Walikota JP,Jakarta Pusat,Gambir,Petojo Utara,,,10160,Jl. Tanah Abang I,3,3,3,1,-6.1705911,106.8195223
Pos Setneg,Jakarta Pusat,Gambir,Gambir,,,10110,Jl. Veteran No. 3,3,3,3,1,-6.1682319,106.8296408
