nama_pos_pemadam,kotamadya,alamat,keterangan,jumlah
"Kantor Sudin Jakarta Pusat","Jakarta Pusat","Jl. KH. Zainul Arifin No.71 Jakarta Pusat","Personil - Group A","42"
"Pos Jati Baru","Jakarta Pusat","Jl. Taman Jati Baru","Personil - Group A","3"
"Pos Setneg","Jakarta Pusat","Jl. Veteran","Personil - Group A","3"
"Pos Balaikota","Jakarta Pusat","Jl. Medan Merdeka Selatan","Personil - Group A","3"
"Pos Walikota JP","Jakarta Pusat","Jl. Tanah Abang 1","Personil - Group A","3"
"Pos Tanah Abang","Jakarta Pusat","Jl. Fachrudin","Personil - Group A","3"
"Pos Kebon Melati","Jakarta Pusat","Jl. H. Awaludin Kel. Kebon Melati","Personil - Group A","4"
"Pos Karet","Jakarta Pusat","Jl. Penjernihan Raya Kel. Bendungan Hilir","Personil - Group A","5"
"Pos Bungur","Jakarta Pusat","Jl. Bungur Besar Raya Kel. Bungur","Personil - Group A","6"
"Pos MPR/DPR","Jakarta Pusat","Jl. Gatot Subroto","Personil - Group A","6"
"Pos TIM","Jakarta Pusat","Jl. Cikini Raya","Personil - Group A","7"
"Sektor Cempaka Putih","Jakarta Pusat","Jl. Perkantoran Rawa Kerbau","Personil - Group A","9"
"Pos Cempaka Putih","Jakarta Pusat","Jl. Cempaka Putih Barat Kel. Cempaka Putih","Personil - Group A","5"
"Pos Johar Baru","Jakarta Pusat","JL. Johar Baru Utara Kel. Johar Baru","Personil - Group A","8"
"Sektor Kemayoran","Jakarta Pusat","Jl. Angkasa Pura Kel. Kemayoran","Personil - Group A","20"
"Pos Serdang","Jakarta Pusat","Jl. Lap Pors","Personil - Group A","5"
"Sektor  Mangga Dua Selatan","Jakarta Pusat","Jl. Mangga Dua Dalam Kel. Mangga Dua Selatan","Personil - Group A","13"
"Pos Pasar Baru","Jakarta Pusat","Jl. Lautze","Personil - Group A","6"
"Kantor Sudin Jakarta Utara","Jakarta Utara","JL. Pemadam Kebakaran No. 113, Kel. Semper Barat, Kec. Cilincing","Personil - Group A","32"
"Pos Kali Baru","Jakarta Utara","JL.Kosambi Kalibaru Kec. Cilincing","Personil - Group A","4"
"Pos Rorotan","Jakarta Utara","Jl. Pinus Raya","Personil - Group A","4"
"Pos Gading Griya","Jakarta Utara","Jl. Blimbing","Personil - Group A","4"
"Sektor 2 ( Koja)","Jakarta Utara","JL. Anggrrek No. 1, Kel. Rawa Badak, Kec. Koja","Personil - Group A","27"
"Pos Gaya Motor","Jakarta Utara","JL. Gaya Motor Kel. Sunter, Kec. Tanjung Priok","Personil - Group A","7"
"Pos Podomoro","Jakarta Utara","JL. Agung Podomoro Kel. Sunter, Kec. Tanjung Priok","Personil - Group A","6"
"Pos Kelapa Gading","Jakarta Utara","JL. Pelepah Indah LC 3, Kel. Kelapa  Gading Barat, Kec. Kelapa Gading","Personil - Group A","5"
"Sektor  IV (Kelapa Gading)","Jakarta Utara","Jl. Komp. HI, Kel. Kelapa Gading Timur, Kec. Kelapa Gading","Personil - Group A","9"
"Pos Pegangsaan Dua","Jakarta Utara","JL. Pegangsaan Dua,  Kel. Pegangsaan Dua, Kec. Kelapa Gading","Personil - Group A","5"
"Pos Pademangan Barat","Jakarta Utara","JL. Budi Mulya, Kel. Pademangan Barat, Kec. Pademangan","Personil - Group A","5"
"Pos Pademangan Timur","Jakarta Utara","Jl. Pademangan IX","Personil - Group A","4"
"Sektor  Ancol","Jakarta Utara","Jl. Ancol Barat","Personil - Group A","7"
"Pos Binaria","Jakarta Utara","JL. Lodan Timur V, Kel. Ancol, Kec. Pademangan","Personil - Group A","4"
"Pos Pluit","Jakarta Utara","JL. Pluit Barat Terusan, Kel. Pluit, Kec. Penjaringann","Personil - Group A","7"
"Pos Muara Angke","Jakarta Utara","JL. Dermaga Pelabuhan, Kel. Pluit, Kec. Penjaringan","Personil - Group A","5"
