nama,alamat,nama_bangunan,nama_jalan,rt,rw,kelurahan,kecamatan,kota,kode_pos,telepon,fax,selular,ukuran_usaha,kategori_usaha,kegiatan_usaha,jenis_usaha,siup,npwp
123 UKM,,,,,,Tegal Parang,Mampang Prapatan,Jakarta Selatan,,,,,,Home Industri,Produksi rotan,PERORANGAN,,
"3R ALAM SEJAHTERA, PT","Jl. Raya Ciracas No. 20, RT003/005, Ciracas, Jakarta Timur",,Jl. Raya Ciracas No. 20,003,005,,Ciracas,Jakarta Timur,,(021) 8454416,(021) 8454416,,,Perdagangan,"Perdagangan alat mekanikal, elektrikal, komputer",PT,DEP. PERINDAG (SIUP) NOMOR : 2468/13 - 1.82,03.015.022.1-009.000
"A & B JAYA MANDIRI, CV","Jl. Jend. A. Yani No. 2, Kayu Putih, Pulo Gadung, Jakarta Timur",,Jl. Jend. A. Yani No. 2,,,Kayu Putih,Pulo Gadung,Jakarta Timur,,(021) 87702048,(021) 87702048,,Usaha Menengah ,Perdagangan,"Perdagangan alat laboratorium, kesehatan/ alat teh",CV,DE.PERINDAG (SIUP) NOMOR : 00614-05/PK/1.82,
"A & J MITRA MEDIA, CV","Jl. Inspeksi Saluran D. 41, RT005/011, Cipinang Melayu, Makassar, Jakarta Timur",,Jl. Inspeksi Saluran D. 41,005,011,Cipinang Melayu,Makassar,Jakarta Timur,,021 98204116,021 98204116,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 3365/13 - 1.824,02.995.005.2-005.000
"A & N FURNITURE , CV","Jl. Cempaka Raya No. 5, RT002/003, Kembangan, Jakarta Barat 11620",,Jl. Cempaka Raya No. 5,002,003,,Kembangan,Jakarta Barat,11620,021 7022375,,,Usaha Kecil ,Perdagangan,,CV,NOMOR : 00291 - 03 / PK / 1.824.271,
A & S MITRA SEJATI PT,Citra Garden II Komplek Ruko Citra Niaga B / 31,Citra Garden II Komplek Ruko Citra Niaga B / 31,,,,,Kalideres,Jakarta Barat,,021 68579790,,,,Perdagangan,"Sub. distributor. pakaian jadi, alat tulis kantor,",PT,DEPDAG SIUP ; NOMOR : 3210 / 1. 824. 221 / 0609,02.589.476.7-034.000
"A & S MITRA SEJATI, PT",Citra Garden II Komplek Ruko Citra Niaga B / 31,Citra Garden II Komplek Ruko Citra Niaga B / 31,,,,,Kalideres,Jakarta Barat,,021 68579790,,,Usaha Menengah ,Jasa / Produksi Lainnya,"Pedagang pakaian jadi, alat tulis kantor, jasa pen",PT,SIUP ; NOMOR : 3210 / 1. 824. 221 / 0609,02.589.476.7-034.000
"A BIZAR, CV","Jl. Matraman Raya No. 107 C, RT016/008, Pal Meriam, Matraman, Jakarta Timur",,Jl. Matraman Raya No. 107 C,016,008,Pal Meriam,Matraman,Jakarta Timur,,(021) 8579077,(021) 8580131,,Usaha Kecil ,Perdagangan,"Perdagangan pakaian jadi (bukan produksi), perleng",CV,DEP.PERINDAG (SIUP) NOMOR : 00828-05/PK/P1/,
A LUNG CELLULAR,"Jl. Raya Setu, Jakarta Timur",,Jl. Raya Setu,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Dagang voucher dan asesoris hp,PERORANGAN,,
A SUPPALY WANTO,Pasar Inpres Duren Sawit,Pasar Inpres Duren Sawit,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,Reparasi dan menjual lampu mobil,PERORANGAN,,
