No.,Nama & Alamat,Kegiatan Usaha,Badan Hukum
1,"*123 UKM*  
Tegal parang
Kec. mampang prapatan
Jakarta Selatan -
Ph: / Fax: / Hp:","(Home Industri) 
Produksi rotan","PERORANGAN
Siup:
NPWP:"
2,"*3R ALAM SEJAHTERA, PT*  
Jl. raya ciracas no. 20 rt. 003/005
Kec. ciracas
Jakarta Timur -
Ph:(021) 8454416 / Fax:(021) 8454416 / Hp:","(Perdagangan) 
Perdagangan alat mekanikal, elektrikal, komputer d","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG (SIUP) NOMOR : 2468/13 1.82
NPWP: 03.015.022.1-009.000"
3,"*A & B JAYA MANDIRI, CV*  
Jl. jend. a. yani no. 2 kel. kayu putih kec. pulogadung jakarta timur 13210
Kec. pulo gadung
Jakarta Timur -
Ph:(021) 87702048 / Fax:(021) 87702048 / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan alat laboratorium, kesehatan/ alat teh","CV (Commanditaire Vennotschaap)
Siup: DE.PERINDAG (SIUP) NOMOR : 00614-05/PK/1.82
NPWP:"
4,"*A & J MITRA MEDIA, CV*  
Jl. inspeksi saluran d. 41 rt. 005/011 kel. cipinang melayu kec. makasar 
jakarta timur 13620
Kec. makassar
Jakarta Timur -
Ph:021 98204116 / Fax:021 98204116 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor, barang cetakan, kor","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 3365/13 1.824
NPWP: 02.995.005.2-005.000"
5,"*A & N FURNITURE , CV*
Jl. cempaka raya no.5 , rt.002/003 jakarta barat 11620
Kec. kembangan
Jakarta Barat -
Ph:021 7022375 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
(binary/image)","CV (Commanditaire Vennotschaap)
Siup: NOMOR : 00291 - 03 / PK / 1.824.271
NPWP:"
6,"*A & S MITRA SEJATI PT*  
Citra garden ii komplek ruko citra niaga b / 31
Kec. kalideres
Jakarta Barat -
Ph:021 68579790 / Fax: / Hp:","(Perdagangan) 
Sub. distributor. pakaian jadi, alat tulis kantor,","P.T. (Perseroan Terbatas)
Siup: DEPDAG SIUP ; NOMOR : 3210 / 1. 824. 221 / 0609
NPWP: 02.589.476.7-034.000"
7,"*A & S MITRA SEJATI, PT*  
Citra garden ii komplek ruko citra niaga b / 31
Kec. kalideres
Jakarta Barat -
Ph:021 68579790 / Fax: / Hp:","Usaha Menengah (Jasa / Produksi Lainnya) 
Pedagang pakaian jadi, alat tulis kantor, jasa pen","P.T. (Perseroan Terbatas)
Siup: SIUP ; NOMOR : 3210 / 1. 824. 221 / 0609
NPWP: 02.589.476.7-034.000"
8,"*A BIZAR, CV*
Jl. matraman raya no. 107 c rt. 016/08 kel. palmeriam kec. matraman jakarta 
timur 13140
Kec. matraman
Jakarta Timur -
Ph:(021) 8579077 / Fax:(021) 8580131 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan pakaian jadi (bukan produksi), perleng","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 00828-05/PK/P1/
NPWP:"
9,"*A LUNG CELLULAR*
Jl raya setu

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Dagang voucher dan asesoris hp","PERORANGAN
Siup:
NPWP:"
10,"*A SUPPALY WANTO*
Pasar inpres duren sawit

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Reparasi dan menjual lampu mobil","PERORANGAN
Siup:
NPWP:"
11,"*A2 SOLUTIONS, PT*
Jl. balai rakyat no. 66 rt. 005/01 kel. cakung timur kec. cakung jakarta 
timur 13910
Kec. cakung
Jakarta Timur -
Ph:(021) 94304763 / Fax: (021) 94304763 / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan alat telekomunikasi/ alat teknik, meka","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 5657/13 1.824
NPWP: 02.906.494.6-006.000"
12,"*AA ABADI, CV*
Jl. pisangan baru tengah no. 14 rt. 002/014 kel. pisangan baru kec. 
matraman jakarta timur 13110
Kec. matraman
Jakarta Timur -
Ph:(021) 8507933 / 8507286 / Fax:(021) 8507933 / 8507286 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan barang cetakan/ alat teknik, mekanikal","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 5085/13 1.824
NPWP: 02.835.437.1-001.000"
13,"*AA INTERNASIONAL COMPANY, PT*  
Gd. perkantoran pulo mas satu gd. ii lt. 4 r. 10a jl. jend a. yani no. 02 
kel. kayu putih kec. pulo gadung jakarta timur 13210
Kec. pulo gadung
Jakarta Timur -
Ph:(021) 47869365 / Fax:(021) 47869365 / Hp:","(Perdagangan) 
Perdagangan alat konstruksi / alat teknik, mekanik","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 2285/13 1.824
NPWP: 21.124.434.8-003.000"
14,"*AB AUTOMATION, PT*
Jl. boulevard artha gading blok b no.28
Kec. kelapa gading
Jakarta Utara -
Ph:45874128 / Fax:45874127 / Hp:","Usaha Menengah (Perdagangan) 
(51501) perdagangan besar mesin-mesin, suku cadang","P.T. (Perseroan Terbatas)
Siup: DINAS KOP, UMKM DAN PERDAGANGAN DKI JKT NO. 02611/
NPWP: 02,694,868,7-043,000"
15,"*AB GLOBAL CHEMICAL, CV*
Jl.bukit gading indah blok o kav no.11
Kec. kelapa gading
Jakarta Utara -
Ph:4530087 / Fax:4530087 / Hp:","Usaha Kecil (Perdagangan) 
(51392) perdagangan besar barang-barang kimia dan","CV (Commanditaire Vennotschaap)
Siup: SUDIN KOP, UMKM DAN PERDAGANGAN JAKUT NOMOR 1593/1
NPWP: 02,983,045,2-043,000"
